ENTITY_NAME,TICKER,INDUSTRY,SECTOR,PRIMARY_INDUSTRY,MARKETCAP,TEV,TOTAL_REV_LTM,TOTAL_REV_FY2024,TOTAL_REV_FY2023,TOTAL_REV_FY2022,TOTAL_REV_FY2021,EBITDA_LTM,EBITDA_FY2024,EBITDA_FY2023,EBITDA_FY2022,EBITDA_FY2021,EBIT_LTM,EBIT_FY2024,EBIT_FY2023,EBIT_FY2022,EBIT_FY2021,INTEREST_EXPENSE_LTM,INTEREST_EXPENSE_FY2024,INTEREST_EXPENSE_FY2023,INTEREST_EXPENSE_FY2022,INTEREST_EXPENSE_FY2021,NET_INCOME_LTM,NET_INCOME_FY2024,NET_INCOME_FY2023,NET_INCOME_FY2022,NET_INCOME_FY2021,CASH_EQUIV_LTM,CASH_EQUIV_FY2024,CASH_EQUIV_FY2023,CASH_EQUIV_FY2022,CASH_EQUIV_FY2021,TOTAL_ASSETS_LTM,TOTAL_ASSETS_FY2024,TOTAL_ASSETS_FY2023,TOTAL_ASSETS_FY2022,TOTAL_ASSETS_FY2021,TOTAL_DEBT_LTM,TOTAL_DEBT_FY2024,TOTAL_DEBT_FY2023,TOTAL_DEBT_FY2022,TOTAL_DEBT_FY2021,TOTAL_EQUITY_LTM,TOTAL_EQUITY_FY2024,TOTAL_EQUITY_FY2023,TOTAL_EQUITY_FY2022,TOTAL_EQUITY_FY2021,TOTAL_REV_1YR_ANN_GROWTH_LTM,TOTAL_REV_1YR_ANN_GROWTH_FY2024,TOTAL_REV_1YR_ANN_GROWTH_FY2023,TOTAL_REV_1YR_ANN_GROWTH_FY2022,TOTAL_REV_1YR_ANN_GROWTH_FY2021,GROSS_MARGIN_LTM,GROSS_MARGIN_FY2024,GROSS_MARGIN_FY2023,GROSS_MARGIN_FY2022,GROSS_MARGIN_FY2021,EBITDA_MARGIN_LTM,EBITDA_MARGIN_FY2024,EBITDA_MARGIN_FY2023,EBITDA_MARGIN_FY2022,EBITDA_MARGIN_FY2021,EBIT_MARGIN_LTM,EBIT_MARGIN_FY2024,EBIT_MARGIN_FY2023,EBIT_MARGIN_FY2022,EBIT_MARGIN_FY2021,NET_MARGIN_LTM,NET_MARGIN_FY2024,NET_MARGIN_FY2023,NET_MARGIN_FY2022,NET_MARGIN_FY2021,DEBT_TO_EQUITY_LTM,DEBT_TO_EQUITY_FY2024,DEBT_TO_EQUITY_FY2023,DEBT_TO_EQUITY_FY2022,DEBT_TO_EQUITY_FY2021,DEBT_TO_EBITDA_LTM,DEBT_TO_EBITDA_FY2024,DEBT_TO_EBITDA_FY2023,DEBT_TO_EBITDA_FY2022,DEBT_TO_EBITDA_FY2021,ROA_LTM,ROA_FY2024,ROA_FY2023,ROA_FY2022,ROA_FY2021,ROC_LTM,ROC_FY2024,ROC_FY2023,ROC_FY2022,ROC_FY2021,ROE_LTM,ROE_FY2024,ROE_FY2023,ROE_FY2022,ROE_FY2021,LFCF_MARGIN_LTM,LFCF_MARGIN_FY2024,LFCF_MARGIN_FY2023,LFCF_MARGIN_FY2022,LFCF_MARGIN_FY2021,UFCF_MARGIN_LTM,UFCF_MARGIN_FY2024,UFCF_MARGIN_FY2023,UFCF_MARGIN_FY2022,UFCF_MARGIN_FY2021,CURRENT_RATIO_LTM,CURRENT_RATIO_FY2024,CURRENT_RATIO_FY2023,CURRENT_RATIO_FY2022,CURRENT_RATIO_FY2021,UNLEVERED_FCF_LTM,UNLEVERED_FCF_FY2024,UNLEVERED_FCF_FY2023,UNLEVERED_FCF_FY2022,UNLEVERED_FCF_FY2021,LEVERED_FCF_LTM,LEVERED_FCF_FY2024,LEVERED_FCF_FY2023,LEVERED_FCF_FY2022,LEVERED_FCF_FY2021,EV/REVENUE_LTM,EV/EBITDA_LTM,EV/EBIT_LTM,EV/UFCF_LTM,EV/REVENUE_FY2024,EV/EBITDA_FY2024,EV/EBIT_FY2024,EV/UFCF_FY2024,EV/REVENUE_FY2023,EV/EBITDA_FY2023,EV/EBIT_FY2023,EV/UFCF_FY2023,EV/REVENUE_FY2022,EV/EBITDA_FY2022,EV/EBIT_FY2022,EV/UFCF_FY2022,EV/REVENUE_FY2021,EV/EBITDA_FY2021,EV/EBIT_FY2021,EV/UFCF_FY2021,PE_LTM,PE_FY2024,PE_FY2023,PE_FY2022,PE_FY2021,PBV_LTM,PBV_FY2024,PBV_FY2023,PBV_FY2022,PBV_FY2021,EV/REVENUE_FWD_2025,EV/REVENUE_FWD_2026,EV/REVENUE_FWD_2027,EV/EBITDA_FWD_2025,EV/EBITDA_FWD_2026,EV/EBITDA_FWD_2027,EV/EBIT_FWD_2025,EV/EBIT_FWD_2026,EV/EBIT_FWD_2027,PE_FWD_2025,PE_FWD_2026,PE_FWD_2027,PBV_FWD_2025,PBV_FWD_2026,PBV_FWD_2027,PRICE_CLOSE_2025,PRICE_CLOSE_2024,PRICE_CLOSE_2023,PRICE_CLOSE_2022,PRICE_CLOSE_2021,FLOAT_SHARES_PERCENT,SHARES_OUT_2025,SHARES_OUT_2024,SHARES_OUT_2023,SHARES_OUT_2022,SHARES_OUT_2021,BETA_3YR_COUNTRY,BETA_3YR_INDUSTRY,BETA_RSQUARED_3YR_COUNTRY,BETA_RSQUARED_3YR_INDUSTRY,COMMON_DIV_DECLARED_LTM,COMMON_DIV_DECLARED_FY2024,COMMON_DIV_DECLARED_FY2023,COMMON_DIV_DECLARED_FY2022,COMMON_DIV_DECLARED_FY2021,PAYOUT_RATIO_LTM,PAYOUT_RATIO_FY2024,PAYOUT_RATIO_FY2023,PAYOUT_RATIO_FY2022,PAYOUT_RATIO_FY2021
ABC Supermercados S.A. (BOVESPA:PICO3),PICO3,Consumer Staples Distribution and Retail,Consumer Staples,Food Retail,NA,NA,"341,253",NA,NA,NA,NA,"-41,120",NA,NA,NA,NA,"-58,405",NA,NA,NA,NA,"33,975",NA,NA,NA,NA,"-89,316",NA,NA,NA,NA,"2,642",NA,NA,NA,NA,"127,503",NA,NA,NA,NA,"101,244",NA,NA,NA,NA,"-50,233",NA,NA,NA,NA,10.41,NA,NA,NA,NA,13.58,NA,NA,NA,NA,-12.05,NA,NA,NA,NA,-17.12,NA,NA,NA,NA,-26.17,NA,NA,NA,NA,NM,NA,NA,NA,NA,NM,NA,NA,NA,NA,-26.89,NA,NA,NA,NA,-48.1,NA,NA,NA,NA,454.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abyara Planejamento Imobiliario SA (BOVESPA:ABYA3),ABYA3,Real Estate Management and Development,Real Estate,Real Estate Services,NA,NA,"250,657",NA,NA,NA,NA,"-34,899",NA,NA,NA,NA,"-45,083",NA,NA,NA,NA,"31,597",NA,NA,NA,NA,"-2,370",NA,NA,NA,NA,"29,556",NA,NA,NA,NA,"978,287",NA,NA,NA,NA,"427,835",NA,NA,NA,NA,"292,589",NA,NA,NA,NA,8.36,NA,NA,NA,NA,32.03,NA,NA,NA,NA,-13.92,NA,NA,NA,NA,-17.99,NA,NA,NA,NA,-0.95,NA,NA,NA,NA,146.22,NA,NA,NA,NA,NM,NA,NA,NA,NA,-2.64,NA,NA,NA,NA,-4.32,NA,NA,NA,NA,-0.97,NA,NA,NA,NA,-35.57,NA,NA,NA,NA,-24.02,NA,NA,NA,NA,1.52,NA,NA,NA,NA,"-271,401",NA,NA,NA,NA,"-291,149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeris Indústria e Comércio de Equipamentos para Geração de Energia S.A. (BOVESPA:AERI3),AERI3,Electrical Equipment,Industrials,Heavy Electrical Equipment,251.59,"1,902.00","1,031,285","1,516,484","2,831,915","2,911,749","2,486,150","-787,167","-625,664","326,781","234,016","238,420","-873,103","-716,655","264,513","180,656","205,381","295,551","181,171","248,682","224,266","104,428","-1,158,305","-934,083","-106,567","-119,992","69,193","67,568","345,841","1,063,522","1,061,718","892,933","2,044,103","2,367,614","4,014,481","4,371,157","2,805,671","1,718,002","1,574,182","1,746,966","1,816,726","1,458,744","-63,526","206,877","1,138,258","857,585","999,592",-55.09,-46.45,-2.74,17.12,12.56,5.17,9.57,13.74,9.01,12.52,-76.33,-41.26,11.54,8.04,9.59,-84.66,-47.26,9.34,6.2,8.26,-112.32,-61.6,-3.76,-4.12,2.78,NM,760.93,153.48,211.84,145.93,NM,NM,5.3,7.76,6.12,-19.15,-14.04,3.94,3.15,4.96,-25.28,-19.2,5.95,4.4,5.62,-224.73,-138.88,-10.68,-12.92,7.04,-10.89,-10.89,-3.25,-0.53,-2.14,-3.42,-3.42,2.24,4.29,0.49,0.51,0.51,1.61,1.63,3.99,"-427,601","-51,864","63,449","124,831","12,086","-612,321","-165,096","-91,978","-15,335","-53,181",1.84,NM,NM,NM,1.25,NM,NM,NM,1.25,NM,NM,NM,0.6,NM,NM,NM,1.25,NM,NM,NM,NM,NM,NM,11.07,45.41,NM,0.45,0.81,0.76,5.32,0.91,0.37,0.72,8.13,3.73,NA,10.23,5.36,4.46,41,3.8,NA,2.8,NA,NA,4.1,8.31,19.2,20,134.2,22.26,"61,362,424","61,284,941","37,401,519","38,127,621","38,310,672",1.48,1.07,0.08,0.09,NA,NA,NA,NA,0.414,NA,NA,NA,NM,NA
Aesapar Fundo de Investimento Imobiliário - FII (BOVESPA:RBED11),RBED11,Specialized REITs,Real Estate,Other Specialized REITs,221.44,NA,"35,537",NA,NA,"35,537","28,942",NA,NA,NA,NA,NA,"28,229",NA,NA,"28,229","24,487",NA,NA,NA,NA,NA,"35,121",NA,NA,"35,121","6,744","7,813",NA,NA,"7,813","8,046","396,855",NA,NA,"396,855","316,766",0,NA,NA,0,0,"324,289",NA,NA,"324,289","285,897",22.79,NA,NA,22.79,18.75,85.74,NA,NA,85.74,92.31,NA,NA,NA,NA,NA,79.44,NA,NA,79.44,84.61,98.83,NA,NA,98.83,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95,NA,NA,4.95,5,5.78,NA,NA,5.78,5.52,11.51,NA,NA,11.51,2.43,102.88,NA,NA,102.88,67.2,102.88,NA,NA,102.88,67.2,0.34,NA,NA,0.34,0.82,"36,559",NA,NA,"36,559","19,448","36,559",NA,NA,"36,559","19,448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.32,NA,NA,NA,NA,NA,NA,NA,6.03,6.34,9.34,35.36,9.99,0.65,0.69,1.01,0.83,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.03,99,145.75,117.96,128.71,NA,"2,355,022","2,355,022","2,355,022","2,355,022","2,021,621",0.01,0.14,0,0.02,NA,NA,NA,NA,NA,81.61,NA,NA,81.61,359.1
Afluente Transmissão de Energia Elétrica S.A. (BOVESPA:AFLT3),AFLT3,Electric Utilities,Utilities,Electric Utilities,460.52,465.1,"75,760","85,999","67,307","72,058","120,319","36,988","43,821","30,321","38,496","103,307","36,818","43,628","30,123","38,323","103,230",918,105,14,25,37,"26,118","34,029","28,712","37,490","99,808","23,212","7,321","2,936","21,331","17,619","353,121","342,757","289,786","300,719","275,945","27,799","30,794",134,336,537,"240,521","252,912","254,149","260,732","247,518",41.91,27.77,-6.59,-40.11,234.87,54.39,55.71,51.82,61.78,88.64,48.82,50.96,45.05,53.42,85.86,48.6,50.73,44.76,53.18,85.8,34.48,39.57,42.66,52.03,82.95,11.56,12.18,0.05,0.13,0.22,0.75,0.7,0,0.01,0.01,6.95,8.62,6.38,8.31,26.68,9.03,10.14,7.31,9.41,29.58,10.84,13.42,11.15,14.75,45.89,18.99,18.99,14.84,39.27,39.41,19.07,19.07,14.85,39.29,39.43,3.92,3.92,3.3,3.34,5.86,-561,"16,401","9,996","28,309","47,445","-1,135","16,335","9,987","28,293","47,422",6.14,12.57,12.63,NM,5.41,10.61,10.66,28.36,5.41,10.61,10.66,28.36,4.58,10.61,10.66,28.36,5.41,10.61,10.66,28.36,17.63,16.04,14.46,5.83,28.92,1.91,1.81,2.08,2.35,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,7.3,8.59,9.22,8.59,1.33,"63,084,700","63,084,700","63,084,700","63,084,700","65,084,700",0.02,0.43,0,0.07,0.087,0.214,0.114,0.15,0.43,135.81,104.22,130.33,39.69,39.74
Afya Limited (NASDAQGS:AFYA),AFYA,Diversified Consumer Services,Consumer Discretionary,Education Services,"7,491.83","9,610.70","3,545,960","3,304,329","2,875,913","2,329,057","1,719,371","1,361,046","1,218,023","971,702","795,383","541,801","1,151,489","1,013,906","780,355","664,100","440,895","428,644","366,352","386,296","288,652","175,649","711,999","648,920","405,416","392,756","242,283","1,099,107","911,015","553,030","1,093,082","748,562","9,238,168","8,829,539","7,584,481","7,199,539","6,447,406","3,225,058","3,173,497","2,675,344","2,714,602","2,161,687","4,636,788","4,310,583","3,643,012","3,250,158","3,000,018",15.6,14.9,23.48,35.46,43.14,64.56,63.21,61.41,63.09,62.06,38.38,36.86,33.79,34.15,31.51,32.47,30.68,27.13,28.51,25.64,19.58,19.11,13.43,16.04,12.99,69.55,73.62,73.44,83.52,72.06,2.25,2.46,2.59,3.19,3.7,8.42,7.72,6.6,6.08,4.9,9.87,9.18,7.94,7.46,6.03,16.45,16.32,11.76,12.57,8.31,7.21,7.21,13.65,6.71,10.32,14.14,14.14,22.05,14.46,16.7,1.39,1.39,1.14,1.81,1.57,"562,785","467,192","634,004","336,747","287,140","294,882","238,222","392,569","156,339","177,360",2.78,6.8,8.46,17.5,3.38,8.6,10.9,23.93,3.38,8.6,10.9,23.93,5.49,8.6,10.9,23.93,3.38,8.6,10.9,23.93,11.39,18.01,28.19,36.42,25.43,1.67,1.92,3.27,2.7,2.66,2.59,2.4,2.25,5.77,5.37,5.06,7.71,7.11,6.6,9,8,7.1,1.5,1.4,1.2,82.5,98.37,106.05,81.84,86.23,8.82,"90,811,015","90,229,593","89,812,462","89,936,546","92,902,329",0.72,0.47,0.1,0.15,1.349,1.349,NA,NA,NA,18.58,NA,NA,NA,NA
AgroGalaxy Participações S.A. (BOVESPA:AGXY3),AGXY3,Food Products,Consumer Staples,Agricultural Products and Services,95.1,"1,970.00","3,357,203","4,612,367","9,399,096","11,592,510","6,580,618","-1,953,304","-1,915,092","267,027","584,183","383,500","-1,987,696","-1,974,231","205,356","527,857","324,884","666,065","745,260","573,745","394,280","148,851","-2,944,352","-3,020,012","-367,292","28,947","119,397","251,712","475,482","738,306","1,077,875","643,563","3,488,816","3,638,761","7,714,016","9,910,493","6,774,910","2,126,570","2,159,147","2,586,818","2,849,948","1,600,441","-2,009,675","-1,745,639","1,136,662","1,501,466","1,474,188",-59.11,-50.93,-18.92,76.16,150.13,-4.18,-1.34,10.3,12.52,13.71,-58.18,-41.52,2.84,5.04,5.83,-59.21,-42.8,2.19,4.55,4.94,-86.99,-64.96,-3.98,0.24,1.8,NM,NM,227.58,189.81,108.56,NM,NM,7.9,4.6,3.94,-21.65,-21.74,1.46,3.95,3.68,-72.99,-59.65,3.18,8.89,7.7,512.89,991.83,-27.85,1.95,9.57,21.88,21.88,5.76,-4.59,-1.54,31.98,31.98,9.58,-2.47,-0.12,0.35,0.35,0.9,1.14,1.11,"1,478,719","1,475,031","900,125","-285,959","-8,098","1,062,428","1,009,243","541,534","-532,384","-101,129",0.59,NM,NM,1.33,0.43,NM,NM,1.34,0.43,NM,NM,1.34,0.51,NM,NM,1.34,0.43,NM,NM,1.34,NM,NM,21.26,12.23,17.52,NM,0.07,0.4,1.04,1.41,0.23,0.21,0.17,5.07,4.79,2.72,6.18,4.94,3.08,NM,NM,3,NA,NA,NA,5.68,6.9,53.25,135.75,154.8,7.46,"16,743,192","16,743,194","11,161,955","11,161,955","11,161,955",0.47,0.56,0.01,0.02,NA,NA,NA,0.595,2.55,NA,NA,NM,100.04,NA
Aguia Resources Limited (ASX:AGR),AGR,Metals and Mining,Materials,Diversified Metals and Mining,131.42,149.5,"1,055",NA,NA,NA,NA,"-9,522","-5,108","-7,952","-7,620","-7,205","-9,612","-19,027","-7,983","-7,651","-43,817",691,NA,NA,NA,NA,"-10,248","-18,995","-7,774","-7,061","-43,619","2,070","3,751","1,405","13,431","16,165","171,857","138,093","110,183","116,715","113,593","20,464",352,0,0,0,"147,057","134,635","109,359","114,081","105,786",NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NM,NA,NA,NA,NA,NM,NA,NA,NA,NA,NM,NA,NA,NA,NA,13.92,0.26,NA,NA,NA,NM,NM,NA,NA,NA,-3.8,-10.13,-4.3,-4.02,-20.82,-3.89,-10.29,-4.37,-4.21,-21.73,-7.13,-16.46,-6.81,-6.21,-34.6,NM,NA,NA,NA,NA,NM,NA,NA,NA,NA,0.21,1.31,2.36,5.22,2.11,"-35,081","2,142","-14,136","-13,249","12,271","-35,514","2,142","-14,136","-13,249","12,271",149.46,NM,NM,NM,149.46,NM,NM,NM,149.46,NM,NM,NM,NA,NM,NM,NM,149.46,NM,NM,NM,NM,NM,NM,NA,NA,0.89,1.06,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.14,0.08,NA,NA,78.93,"1,493,999,624","1,362,240,017","505,480,888",NA,NA,0.83,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alfa Holdings S.A. (BOVESPA:RPAD3),RPAD3,Banks,Financials,Diversified Banks,429.55,303.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1,256","-8,057","-6,703","-4,432","-3,624",NA,NA,NA,NA,NA,"-32,739","-115,465","16,555","66,391","19,360",211,7,23,64,457,"994,797","967,409","1,094,723","1,078,619","1,048,687",0,0,0,0,0,"983,532","949,142","1,082,832","1,066,751","1,038,886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08,-0.49,-0.39,-0.26,-0.22,-0.08,-0.5,-0.39,-0.26,-0.22,-3.24,-11.37,1.54,6.31,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.31,11.31,5.3,5.92,7.26,"-1,094","-7,157","-2,669","-3,157","-2,042","-1,094","-7,157","-2,669","-3,157","-2,042",NA,NA,NM,NM,NA,NA,NM,NM,NA,NA,NM,NM,NA,NA,NM,NM,NA,NA,NM,NM,NM,30.77,10.08,31.18,14.89,0.42,0.47,0.63,0.58,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93,6,7.9,7.14,5.97,88.25,"84,682,269","84,682,269","84,682,269","84,682,269","84,682,269",0.01,0.37,0,0.04,NA,NA,NA,0.001,NA,NM,NM,46.93,11.63,38
Alliança Saúde e Participações S.A. (BOVESPA:AALR3),AALR3,Health Care Providers and Services,Health Care,Health Care Services,"1,029.70","1,598.60","1,229,177","1,216,992","1,179,584","1,085,009","1,136,572","158,609","164,898","71,518","74,621","201,825","118,373","113,009","32,745","-43,116","82,221","186,367","208,459","238,370","201,197","85,718","-76,291","-117,236","-218,559","-219,243","1,988","116,421","114,972","218,595","218,744","127,310","2,878,610","2,889,222","2,669,811","2,615,454","2,542,229","652,693","951,062","1,309,243","1,335,223","1,071,429","1,091,702","1,136,817","943,992","981,917","1,209,434",3.38,3.17,8.72,-4.54,22.37,27.69,29.22,30.93,30.02,31.33,12.9,13.55,6.06,6.88,17.76,9.63,9.29,2.78,-3.97,7.23,-7.04,-10.61,-19.32,-21,-0.5,59.79,83.66,138.69,135.98,88.59,3.35,4.71,11.59,17.89,5.31,2.66,2.54,0.77,-1.05,2.02,3.75,3.25,0.9,-1.17,2.26,-6.9,-11.27,-22.7,-20.01,0.16,-24.49,-24.49,-5.19,-1.76,1.59,-13.78,-13.78,7.44,9.83,6.31,1.04,1.04,0.71,0.71,0.83,"-168,609","-167,694","87,778","106,655","71,659","-285,088","-297,981","-61,204","-19,094","18,085",1.3,8.21,13.5,NM,1.31,7.91,14.15,NM,1.31,7.91,14.15,NM,3.07,7.91,14.15,NM,1.31,7.91,14.15,NM,NM,NM,NM,NM,NM,0.97,1.13,1.28,2.12,1.37,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,6.76,8.8,10.3,21.15,13.79,53.8,"152,321,877","118,201,989","118,080,002","117,810,295","117,282,656",0.55,0.44,0.02,0.09,NA,NA,NA,NA,NA,NA,NA,NM,NA,NA
